Genotype,Y,S1,S2,S3,S6,NP1,NP2,NP3,NP4,KR
88,87.46666668,92.66666667,7524.8,354.9433962,3.018867925,72.66666667,0.923649907,0.791809912,0.874213836,423
89,87.33333333,94.93333333,7819.066667,374.715655,3.156549521,74.5,0.883809524,0.813029994,0.909904153,428
90,101.2,139.9333333,14800.16667,352.1054718,2.743854084,93.16666667,0.413281754,0.500662875,0.665820777,376
91,92.06666667,75.13333333,4325.5,184.0638298,2.178723404,61.66666667,0.583333333,0.751317941,0.639432624,329
92,73.80000001,105.8666667,10073.6,654.1298701,5.064935065,101,2.291666667,1.414326195,1.374891775,583
93,87.2,70.46666667,3776.7,206.3770492,2.644808743,57.16666667,1.032323232,0.917694809,0.770127505,275
94,69.6,94,8684.666667,719.7237569,6.143646409,80,3.666666667,1.565720903,1.55801105,526
95,79.26666667,96.2,8200.966667,552.8741573,4.741573034,64.83333333,1.317610063,1.124999123,1.297078652,481
96,74.83333333,98,8128.666667,546.7713004,4.798206278,72.83333333,1.418960245,1.212216781,1.31838565,509
97,107.3333334,155.1333333,16902.96667,675.2183755,5.456724368,123,1.016369048,0.991115692,1.239414115,495
98,85.79999999,67.4,3561.366667,191.1288014,2.350626118,66.83333333,0.975925926,0.911931227,0.723434705,226
99,77.33333333,81.26666667,4801.5,287.5149701,4.443113772,76.5,0.657801418,1.039720923,0.973253493,264
100,79.2,112.2,8960.966667,287.5176471,2.511229947,81.16666667,0.566468254,0.57084353,0.72,441
101,81.38888888,56.93333333,2359.866667,80.08597285,1.778280543,66.16666667,0.287280702,0.515277391,0.386425339,159
102,81.61111112,93.8,5952.166667,177.3237339,2.353525323,70.16666667,0.424731183,0.482773851,0.558887786,174
103,63.66666667,95.06666667,7282.266667,581.0319149,6.85106383,92.66666667,7.392156863,1.648541476,1.517021277,540
104,78.93333333,99.53333333,7809.366667,460.2770138,4.161100196,68.5,0.774122807,1.04203737,1.173280943,481
105,72.66666667,92.13333333,8083.466667,591.4731707,5.2,69.33333333,2.065843621,1.255773105,1.348292683,515
106,83.26666668,94.13333333,7888,424.0860215,3.655913978,67.83333333,0.798122066,0.907795871,1.01218638,460
